,date,open,high,low,close,volume,oi
0,2022-05-02 09:21:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
1,2022-05-02 09:22:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
2,2022-05-02 09:23:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
3,2022-05-02 09:24:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
4,2022-05-02 09:25:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
5,2022-05-02 09:26:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
6,2022-05-02 09:27:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
7,2022-05-02 09:28:00+05:30,1483.55,1483.55,1483.55,1483.55,0,0
8,2022-05-02 09:29:00+05:30,1483.55,1483.55,1445.7,1445.7,100,100
9,2022-05-02 09:30:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
10,2022-05-02 09:31:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
11,2022-05-02 09:32:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
12,2022-05-02 09:33:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
13,2022-05-02 09:34:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
14,2022-05-02 09:35:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
15,2022-05-02 09:36:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
16,2022-05-02 09:37:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
17,2022-05-02 09:38:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
18,2022-05-02 09:39:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
19,2022-05-02 09:40:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
20,2022-05-02 09:41:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
21,2022-05-02 09:42:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
22,2022-05-02 09:43:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
23,2022-05-02 09:44:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
24,2022-05-02 09:45:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
25,2022-05-02 09:46:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
26,2022-05-02 09:47:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
27,2022-05-02 09:49:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
28,2022-05-02 09:50:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
29,2022-05-02 09:51:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
30,2022-05-02 09:52:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
31,2022-05-02 09:54:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
32,2022-05-02 09:55:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
33,2022-05-02 09:56:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
34,2022-05-02 09:57:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
35,2022-05-02 09:58:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
36,2022-05-02 09:59:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
37,2022-05-02 10:00:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
38,2022-05-02 10:01:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
39,2022-05-02 10:03:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
40,2022-05-02 10:04:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
41,2022-05-02 10:05:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
42,2022-05-02 10:06:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
43,2022-05-02 10:07:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
44,2022-05-02 10:08:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
45,2022-05-02 10:09:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
46,2022-05-02 10:10:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
47,2022-05-02 10:11:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
48,2022-05-02 10:12:00+05:30,1445.7,1445.7,1445.7,1445.7,0,100
